shares,kw_max_avg,kw_avg_avg,LDA_03,LDA_01,num_keywords,kw_max_min,max_positive_polarity,kw_min_avg,weekday_is_tuesday,kw_avg_min,abs_title_sentiment_polarity,global_rate_negative_words,data_channel_is_entertainment,rate_negative_words,weekday_is_monday,self_reference_min_shares,self_reference_avg_sharess,n_non_stop_unique_tokens,weekday_is_wednesday,num_imgs,kw_avg_max,global_rate_positive_words,min_positive_polarity,kw_max_max,num_videos,weekday_is_sunday,num_hrefs,data_channel_is_socmed,rate_positive_words,kw_min_min,data_channel_is_bus,max_negative_polarity,kw_min_max,avg_negative_polarity,global_sentiment_polarity,data_channel_is_lifestyle,title_sentiment_polarity,data_channel_is_world,abs_title_subjectivity,self_reference_max_shares,is_weekend,LDA_02,LDA_04
2400,2553.14015477,1583.46040019,0.0334053062144,0.866592011485,6.0,368.0,1.0,0.0,0.0,325.75,1.0,0.0331325301205,1.0,0.468085106383,1.0,0.0,0.0,0.67272727098,0.0,1.0,18483.3333333,0.0376506024096,0.1,51900.0,1.0,0.0,8.0,0.0,0.531914893617,217.0,0.0,-0.125,0.0,-0.326957070707,-0.00191965955855,0.0,-1.0,0.0,0.5,0.0,0.0,0.033334223234,0.0333339574128
1300,3692.16049383,2120.38711306,0.0200038978606,0.220810766813,10.0,769.0,1.0,0.0,1.0,230.333333333,0.4,0.0107212475634,0.0,0.161764705882,0.0,2500.0,2500.0,0.608837969544,0.0,11.0,123727.1,0.0555555555556,0.0333333333333,843300.0,0.0,0.0,38.0,0.0,0.838235294118,4.0,0.0,-0.1,0.0,-0.321212121212,0.231949371766,0.0,-0.4,1.0,0.1,2500.0,0.0,0.505942486369,0.233239269413
7100,4846.89285714,3823.51348854,0.0400001876636,0.0400028482576,5.0,839.0,0.5,2965.45756719,0.0,223.6,0.0,0.0146341463415,0.0,0.25,0.0,8800.0,39500.0,0.811475403185,0.0,0.0,463340.0,0.0439024390244,0.1,843300.0,1.0,0.0,7.0,0.0,0.75,-1.0,0.0,-0.125,36100.0,-0.270833333333,0.168214285714,0.0,0.0,0.0,0.5,70200.0,0.0,0.0400015424951,0.439990958769
3300,9450.55497382,6915.91544307,0.866655191631,0.0333446799644,6.0,330.0,1.0,3607.11462422,1.0,137.5,0.5,0.0147783251232,0.0,0.230769230769,0.0,30500.0,30500.0,0.666666661939,0.0,20.0,406733.333333,0.0492610837438,0.3,843300.0,0.0,0.0,22.0,0.0,0.769230769231,-1.0,0.0,-0.05,128900.0,-0.25,0.35641025641,0.0,0.5,0.0,0.5,30500.0,0.0,0.0333333436238,0.0333334236603
904,3304.7832244,1499.00341737,0.436361743201,0.0400215934375,5.0,916.0,0.9,0.0,0.0,346.333333333,0.15,0.0161476355248,0.0,0.215384615385,0.0,2000.0,3150.0,0.560165973942,1.0,15.0,152700.0,0.0588235294118,0.1,690400.0,0.0,0.0,5.0,0.0,0.784615384615,4.0,0.0,-0.1,0.0,-0.224107142857,0.215401215251,0.0,0.15,0.0,0.1,4300.0,0.0,0.0400126580263,0.443585010344
5000,3270.49435411,2559.87419599,0.0333343977611,0.033335740506,6.0,697.0,0.5,1555.6,0.0,263.5,0.0,0.010152284264,0.0,0.333333333333,0.0,3600.0,3600.0,0.803571421397,0.0,1.0,182233.333333,0.0203045685279,0.1,843300.0,0.0,0.0,7.0,0.0,0.666666666667,4.0,0.0,-0.125,4100.0,-0.3125,0.0389204545455,0.0,0.0,0.0,0.5,3600.0,0.0,0.30065217236,0.599251852422
638,5065.33333333,2932.52555457,0.0200005541084,0.220512268945,10.0,741.0,0.5,1902.5483871,0.0,152.1,0.7,0.0194346289753,0.0,0.55,0.0,1600.0,1600.0,0.669696967668,0.0,1.0,205540.0,0.0159010600707,0.0625,843300.0,0.0,0.0,3.0,0.0,0.45,-1.0,0.0,-0.05,17100.0,-0.245634920635,-0.0112022737023,0.0,0.7,1.0,0.1,1600.0,0.0,0.719246866186,0.020240188272
1900,3557.61538462,2724.72530917,0.0400001794391,0.0405853132426,5.0,0.0,0.5,1996.275,0.0,-0.8,0.5,0.026455026455,0.0,0.4,0.0,1400.0,2300.0,0.799999996522,1.0,1.0,346820.0,0.0396825396825,0.0333333333333,843300.0,0.0,0.0,7.0,0.0,0.6,-1.0,0.0,-0.1,23100.0,-0.228333333333,0.0721946022727,0.0,0.5,1.0,0.0,4400.0,0.0,0.839206740236,0.0402075314124
852,3288.27654512,1870.91188887,0.0225284295223,0.0222232763669,9.0,745.0,0.75,0.0,0.0,148.142857143,0.455,0.0262529832936,0.0,0.448979591837,1.0,0.0,0.0,0.732067509004,0.0,1.0,249333.333333,0.0322195704057,0.1,843300.0,0.0,0.0,7.0,0.0,0.551020408163,4.0,0.0,-0.0714285714286,0.0,-0.277417027417,0.0136409445933,0.0,0.455,1.0,0.11,0.0,0.0,0.910801388799,0.0222235594378
697,3582.54596646,2415.24485357,0.0250005290595,0.026217722504,8.0,476.0,0.8,1041.80722892,1.0,131.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.89830506952,0.0,0.0,297275.0,0.0408163265306,0.25,843300.0,0.0,0.0,5.0,0.0,1.0,-1.0,0.0,0.0,5000.0,0.0,0.321428571429,0.0,-0.125,1.0,0.125,0.0,0.0,0.599153571563,0.324287642572
1200,2544.77804487,1407.7598753,0.0400011298796,0.0400020247179,5.0,400.0,0.5,0.0,1.0,342.75,0.0,0.0206896551724,0.0,0.3,0.0,5500.0,5500.0,0.722222217764,0.0,1.0,15380.0,0.048275862069,0.1,51900.0,0.0,0.0,5.0,0.0,0.7,217.0,1.0,-0.1,0.0,-0.131481481481,0.101503126503,0.0,0.0,0.0,0.5,5500.0,0.0,0.0400012693439,0.0400008995222
1400,3483.5381402,3047.92629062,0.0285715976079,0.0285727149946,7.0,783.0,0.8,2495.01228978,0.0,111.0,0.0,0.0144648023144,0.0,0.3,0.0,783.0,2270.75,0.561488672231,1.0,20.0,355742.857143,0.0337512054002,0.1,843300.0,0.0,0.0,35.0,0.0,0.7,-1.0,1.0,-0.05,9400.0,-0.246428571429,0.0938399438399,0.0,0.0,0.0,0.5,4500.0,0.0,0.0285773316828,0.586096755399
